codepoint_dec,codepoint_hex,char,width
120121,U+1D539,𝔹,1.4000
120123,U+1D53B,𝔻,1.5390
120124,U+1D53C,𝔼,1.3680
120125,U+1D53D,𝔽,1.2780
120126,U+1D53E,𝔾,1.3920
120128,U+1D540,𝕀,0.8530
120129,U+1D541,𝕁,0.9810
120130,U+1D542,𝕂,1.5590
120131,U+1D543,𝕃,1.3710
120132,U+1D544,𝕄,1.8490
120134,U+1D546,𝕆,1.3330
120138,U+1D54A,𝕊,0.9600
120139,U+1D54B,𝕋,1.3670
120140,U+1D54C,𝕌,1.5600
120141,U+1D54D,𝕍,1.5380
120142,U+1D54E,𝕎,1.9800
120143,U+1D54F,𝕏,1.5260
120144,U+1D550,𝕐,1.3600
120250,U+1D5BA,𝖺,0.9000
120251,U+1D5BB,𝖻,0.9990
120252,U+1D5BC,𝖼,0.7990
120253,U+1D5BD,𝖽,0.9990
120254,U+1D5BE,𝖾,0.7990
120255,U+1D5BF,𝖿,0.5490
120256,U+1D5C0,𝗀,0.9000
120257,U+1D5C1,𝗁,0.9990
120258,U+1D5C2,𝗂,0.4980
120259,U+1D5C3,𝗃,0.5490
120260,U+1D5C4,𝗄,0.9480
120261,U+1D5C5,𝗅,0.4980
120262,U+1D5C6,𝗆,1.4990
120263,U+1D5C7,𝗇,0.9990
120264,U+1D5C8,𝗈,0.9000
120265,U+1D5C9,𝗉,0.9990
120266,U+1D5CA,𝗊,0.9480
120267,U+1D5CB,𝗋,0.7040
120268,U+1D5CC,𝗌,0.7090
120269,U+1D5CD,𝗍,0.6980
120270,U+1D5CE,𝗎,0.9990
120271,U+1D5CF,𝗏,0.9480
120272,U+1D5D0,𝗐,1.2990
120273,U+1D5D1,𝗑,0.9480
120274,U+1D5D2,𝗒,0.9480
120275,U+1D5D3,𝗓,0.7990
120812,U+1D7EC,𝟬,0.9000
120813,U+1D7ED,𝟭,0.9000
120814,U+1D7EE,𝟮,0.9000
120815,U+1D7EF,𝟯,0.9000
120816,U+1D7F0,𝟰,0.9000
120817,U+1D7F1,𝟱,0.9000
120818,U+1D7F2,𝟲,0.9000
120819,U+1D7F3,𝟳,0.9000
120820,U+1D7F4,𝟴,0.9000
120821,U+1D7F5,𝟵,0.9000
127760,U+1F310,🌐,1.3680
128211,U+1F4D3,📓,0.8630
128448,U+1F5C0,🗀,0.9390
128463,U+1F5CF,🗏,1.0670
