codepoint_dec,codepoint_hex,char,width,rel_to_space
120272,U+1D5D0,𝗐,1.0000,1.0000
120273,U+1D5D1,𝗑,1.0000,1.0000
120274,U+1D5D2,𝗒,1.0000,1.0000
120275,U+1D5D3,𝗓,1.0000,1.0000
120812,U+1D7EC,𝟬,1.0000,1.0000
120813,U+1D7ED,𝟭,1.0000,1.0000
120814,U+1D7EE,𝟮,1.0000,1.0000
120815,U+1D7EF,𝟯,1.0000,1.0000
120816,U+1D7F0,𝟰,1.0000,1.0000
120817,U+1D7F1,𝟱,1.0000,1.0000
120818,U+1D7F2,𝟲,1.0000,1.0000
120819,U+1D7F3,𝟳,1.0000,1.0000
120820,U+1D7F4,𝟴,1.0000,1.0000
120821,U+1D7F5,𝟵,1.0000,1.0000
127760,U+1F310,🌐,0.0000,0.0000
128211,U+1F4D3,📓,0.0000,0.0000
128448,U+1F5C0,🗀,0.0000,0.0000
128463,U+1F5CF,🗏,0.0000,0.0000
