code	v18	v20	diff	rel%
120113	0.599	0.599	0.000	0.0
120114	0.931	0.931	0.000	0.0
120115	0.919	0.92	0.001	0.1
120116	1.392	1.392	0.000	0.0
120117	0.699	0.699	0.000	0.0
120118	0.896	0.896	0.000	0.0
120119	0.702	0.702	0.000	0.0
120120	1.558	1.558	0.000	0.0
120121	1.401	1.401	0.000	0.0
120123	1.54	1.541	0.001	0.1
120124	1.369	1.369	0.000	0.0
120125	1.278	1.279	0.001	0.1
120126	1.392	1.393	0.001	0.1
120128	0.853	0.853	0.000	0.0
120130	1.559	1.56	0.001	0.1
120131	1.372	1.373	0.001	0.1
120132	1.849	1.849	0.000	0.0
120134	1.333	1.334	0.001	0.1
120139	1.367	1.368	0.001	0.1
120140	1.561	1.561	0.000	0.0
120141	1.539	1.539	0.000	0.0
120142	1.981	1.982	0.001	0.1
120143	1.526	1.527	0.001	0.1
120144	1.36	1.362	0.002	0.1
120250	0.901	0.901	0.000	0.0
120252	0.8	0.799	-0.001	-0.1
120254	0.8	0.799	-0.001	-0.1
120255	0.549	0.549	0.000	0.0
120256	0.901	0.901	0.000	0.0
120258	0.499	0.498	-0.001	-0.2
120259	0.549	0.549	0.000	0.0
120260	0.948	0.948	0.000	0.0
120261	0.499	0.498	-0.001	-0.2
120262	1.5	1.5	0.000	0.0
120264	0.901	0.901	0.000	0.0
120266	0.948	0.948	0.000	0.0
120267	0.705	0.704	-0.001	-0.1
120268	0.709	0.709	0.000	0.0
120269	0.699	0.699	0.000	0.0
120271	0.948	0.948	0.000	0.0
120272	1.3	1.299	-0.001	-0.1
120273	0.948	0.948	0.000	0.0
120274	0.948	0.948	0.000	0.0
120275	0.8	0.799	-0.001	-0.1
120812	0.901	0.901	0.000	0.0
120813	0.901	0.901	0.000	0.0
120814	0.901	0.901	0.000	0.0
120815	0.901	0.901	0.000	0.0
120816	0.901	0.901	0.000	0.0
120817	0.901	0.901	0.000	0.0
120818	0.901	0.901	0.000	0.0
120819	0.901	0.901	0.000	0.0
120820	0.901	0.901	0.000	0.0
120821	0.901	0.901	0.000	0.0
127760	1.369	1.369	0.000	0.0
128211	0.863	0.863	0.000	0.0
128448	0.939	0.939	0.000	0.0
128463	1.068	1.067	-0.001	-0.1
